units,people,daily_hours,appliances,previous_units,bill
800.0,7,10.8,11,660.9,6547
684.0,5,6.2,16,529.4,5264
421.8,3,8.0,10,284.7,2877
554.0,3,8.6,7,382.6,3942
517.1,2,8.5,7,449.4,3797
690.5,7,7.7,16,625.2,5489
477.5,4,9.1,10,424.4,3301
306.3,1,8.6,7,303.6,1902
352.2,2,4.8,5,253.2,2288
460.7,2,9.4,7,409.0,3137
309.9,4,9.5,6,353.0,1864
250.6,1,5.8,5,250.0,1528
609.2,5,7.6,9,502.0,4524
676.8,6,9.0,11,556.2,5216
721.9,7,7.0,18,676.3,5601
800.0,6,9.9,16,696.1,6319
781.8,5,12.7,13,657.6,6294
186.0,2,5.8,4,179.0,1115
289.1,1,4.5,5,230.4,1678
465.1,2,8.2,10,353.5,3288
383.2,3,9.1,9,410.6,2473
334.2,2,7.0,13,375.9,2047
400.3,2,10.7,8,370.3,2671
489.7,5,4.6,12,516.5,3350
705.2,5,9.0,11,514.8,5533
610.6,5,6.2,12,418.4,4479
800.0,6,11.3,13,607.4,6534
549.1,3,11.9,10,478.7,4131
690.5,5,5.8,14,565.2,5313
280.5,1,6.3,4,239.4,1743
533.5,6,9.4,10,512.3,3738
476.3,4,6.6,5,496.4,3306
303.9,1,7.4,7,276.8,1915
775.2,7,7.6,12,665.2,6207
567.2,7,3.3,9,473.6,4058
325.1,1,7.5,6,280.8,1803
619.9,5,6.0,18,594.9,4612
506.7,4,6.4,10,482.5,3472
603.8,4,10.7,12,574.3,4453
572.8,6,4.7,13,559.2,4164
546.1,4,9.3,10,449.9,3903
539.5,7,6.9,17,611.5,3824
378.2,3,6.9,8,373.2,2375
721.9,5,9.2,12,586.6,5600
516.8,4,8.2,11,448.2,3721
636.2,6,8.8,11,618.2,4760
730.9,7,9.6,17,700.0,5735
263.3,3,6.8,8,302.5,1544
252.3,2,6.2,5,214.7,1505
299.0,2,5.1,8,270.3,1814
450.2,3,5.7,6,326.2,2798
800.0,7,14.0,15,700.0,6554
636.7,6,10.2,13,684.7,4942
474.0,3,4.5,11,371.8,3148
466.0,5,4.6,13,465.8,3102
520.0,5,8.6,11,432.1,3646
323.7,2,8.7,9,282.3,1979
660.5,4,8.7,13,508.2,5069
498.1,6,6.9,14,445.6,3330
341.3,2,7.2,7,359.7,2067
414.2,4,8.2,7,403.3,2861
744.3,4,7.7,7,580.8,5753
540.4,5,2.6,11,531.1,3890
789.5,7,7.0,13,586.9,6310
247.1,1,5.6,5,200.4,1315
800.0,7,7.9,15,691.7,6454
548.0,1,14.0,7,474.7,3981
325.4,3,8.3,8,290.5,2002
560.7,5,6.8,13,405.3,4080
592.8,4,9.5,10,437.3,4421
540.5,6,8.6,8,552.2,3907
321.5,1,8.4,3,260.0,2056
800.0,7,8.8,14,700.0,6443
361.0,4,12.0,7,414.5,2268
62.5,1,5.0,7,91.8,331
469.7,1,8.5,9,353.9,3429
178.2,1,5.5,9,205.8,1079
702.6,6,8.7,12,460.0,5622
672.4,5,5.5,15,511.6,5240
602.2,6,6.6,13,588.1,4479
283.5,2,6.9,6,278.6,1714
526.4,4,9.6,8,424.5,3731
641.2,5,9.5,11,519.6,4742
541.7,5,4.8,11,422.3,3843
475.4,5,7.6,12,432.0,3361
672.3,7,5.9,15,562.6,5105
543.3,5,4.7,12,482.8,3892
674.6,6,7.0,14,582.1,5236
595.7,5,6.8,14,525.0,4344
631.3,3,12.8,11,443.4,4776
475.3,4,8.5,6,394.2,3178
259.1,5,4.5,5,245.7,1447
431.6,4,6.3,12,446.5,2812
400.2,3,9.7,5,449.0,2582
449.4,3,12.1,8,367.6,3193
442.0,4,4.0,7,304.0,2866
144.5,1,3.4,2,147.7,757
527.1,2,11.6,8,464.0,3729
766.2,7,8.4,16,632.8,6175
218.9,1,5.6,4,155.5,1349
131.1,1,8.7,2,116.9,788
511.5,6,2.0,12,455.7,3543
800.0,7,7.5,15,700.0,6388
683.9,7,8.2,11,610.2,5180
272.9,1,9.5,6,287.4,1795
527.1,5,5.3,11,469.6,3654
631.1,6,7.7,14,575.8,4809
495.6,6,5.5,13,479.6,3496
385.1,3,8.1,6,397.4,2469
756.3,7,5.5,17,631.0,6042
222.7,1,6.6,5,224.8,1353
341.5,3,5.3,8,272.9,2251
625.1,4,8.9,8,508.5,4650
388.3,2,9.4,6,367.6,2460
673.6,6,7.0,11,497.3,5113
606.8,4,7.6,10,491.6,4516
482.3,4,4.3,14,398.3,3309
387.4,5,6.8,8,401.1,2497
124.9,2,7.4,3,217.2,546
502.8,4,13.3,14,489.4,3617
383.4,4,5.1,9,404.9,2614
307.5,2,10.7,5,242.3,1932
326.4,2,9.7,10,316.9,2114
443.2,4,8.1,8,308.0,3035
430.8,2,11.4,12,433.9,2984
515.9,4,8.3,12,465.5,3705
509.1,4,8.4,9,420.4,3584
544.2,5,7.4,17,504.6,3912
322.5,1,10.2,4,212.0,1953
636.8,4,9.9,12,528.0,4815
407.3,3,6.1,9,322.9,2706
662.9,6,4.6,16,562.2,5023
775.1,7,7.1,18,609.3,6198
271.5,1,5.7,6,230.3,1634
468.9,1,7.4,4,297.2,3231
352.4,1,10.2,7,345.2,2362
490.0,5,6.5,10,439.2,3375
560.4,4,7.4,15,507.5,3987
644.5,5,7.6,12,493.1,4855
357.6,4,9.4,9,457.0,2320
460.0,5,2.6,12,397.1,2961
447.3,5,6.2,8,422.9,3103
800.0,6,8.0,11,557.0,6396
505.1,3,10.1,12,406.9,3584
409.5,5,6.4,10,404.6,2807
391.7,6,3.4,10,374.3,2485
241.9,2,8.9,8,257.5,1506
410.5,3,6.1,11,309.9,2714
622.1,5,4.9,13,477.7,4622
681.3,7,6.1,17,580.2,5194
309.5,1,7.1,4,248.9,1983
273.2,2,6.2,3,239.0,1576
236.5,2,2.6,11,161.4,1424
641.6,6,9.5,12,620.5,4743
397.5,2,10.3,6,392.1,2718
574.8,3,8.9,12,385.1,4293
623.0,5,5.0,13,494.1,4652
518.8,5,7.1,13,460.9,3643
737.4,7,7.5,20,695.1,5855
169.1,1,8.8,4,182.2,1142
497.9,6,9.0,15,512.8,3371
187.5,1,5.9,6,201.9,1129
390.9,2,7.7,8,317.4,2499
772.5,7,8.5,18,662.2,6166
373.1,1,10.7,7,256.5,2430
509.0,3,9.0,10,395.9,3540
609.2,5,9.2,14,574.1,4567
326.2,2,7.7,6,297.9,1942
697.6,7,10.6,12,659.9,5503
293.1,1,8.4,3,195.4,1628
493.8,6,5.6,8,531.3,3417
394.5,3,10.6,14,428.9,2640
435.1,3,9.0,6,396.5,2846
402.8,1,6.5,5,287.5,2642
541.9,5,6.4,11,499.5,3755
265.8,1,8.2,6,252.6,1600
409.1,2,8.5,9,322.3,2628
412.6,1,7.9,8,340.8,2775
238.4,3,8.2,7,288.1,1365
765.2,7,11.2,14,632.0,6074
432.7,1,9.9,6,272.6,2939
760.1,5,7.9,11,567.6,5944
760.7,7,9.6,19,700.0,6068
622.5,6,5.2,14,478.9,4544
568.7,4,8.4,12,457.7,4197
354.3,1,11.5,7,301.9,2426
424.9,5,7.0,14,480.3,3064
791.4,7,5.6,15,650.3,6306
412.6,5,6.1,8,354.7,2775
741.1,6,5.1,14,618.3,5674
484.3,3,5.8,7,368.5,3402
484.5,5,6.7,10,525.3,3382
685.1,7,4.4,16,560.9,5225
618.8,5,7.5,15,532.4,4733
569.7,5,9.5,12,460.9,4158
525.2,5,5.5,12,439.2,3664
515.3,2,10.8,11,444.3,3692
600.5,2,8.6,8,412.5,4366
517.4,3,9.8,15,429.9,3762
210.2,1,6.1,7,217.8,1152
356.2,5,9.4,7,469.5,2219
656.1,6,5.1,15,465.0,4916
299.6,1,9.5,6,319.8,1879
606.4,6,7.9,16,564.0,4493
289.5,1,8.7,7,275.2,1665
396.4,3,4.9,8,294.6,2532
510.6,5,5.5,8,377.1,3529
557.9,5,8.8,11,515.3,3965
368.1,4,5.4,8,361.6,2268
645.1,6,8.5,12,546.9,5044
212.0,1,4.5,7,169.8,1158
416.3,1,9.4,10,351.2,2780
527.7,2,4.8,8,363.1,3662
518.9,4,8.7,7,428.6,3614
800.0,7,8.9,16,700.0,6470
557.3,7,6.0,17,549.9,4110
376.3,2,8.8,5,316.7,2417
316.5,2,8.1,7,259.0,1867
160.4,2,6.3,7,206.4,1004
517.9,6,5.3,11,456.4,3611
675.8,6,3.2,15,572.8,5268
528.2,3,8.3,8,432.1,3577
435.9,3,4.1,10,341.4,2912
189.4,2,7.7,5,204.5,1237
532.6,4,6.9,9,401.8,3743
320.2,1,9.0,7,307.5,1978
640.4,6,6.8,12,546.7,4851
494.7,4,6.8,14,368.5,3397
526.5,5,9.1,11,472.0,3724
710.4,6,8.2,14,582.7,5514
800.0,6,8.2,15,627.0,6369
212.4,3,8.5,5,227.8,1343
187.9,1,4.1,2,134.3,1064
326.7,1,9.2,2,241.8,2037
736.9,7,8.8,18,700.0,5883
544.2,7,5.3,13,603.8,3865
800.0,7,7.0,20,700.0,6374
571.4,7,7.4,13,560.4,4132
565.7,5,7.2,12,393.7,4110
561.6,5,8.2,15,531.6,4027
800.0,6,10.6,18,700.0,6425
573.4,2,9.9,12,488.5,4181
368.1,3,4.6,12,401.1,2512
461.7,3,8.9,11,450.2,2979
780.4,7,10.4,16,700.0,6242
722.2,6,8.4,15,569.7,5781
480.6,4,9.9,9,459.0,3337
551.9,2,11.9,5,456.5,4044
687.1,6,9.8,13,549.7,5331
386.9,2,8.0,7,407.7,2481
412.1,2,9.8,6,320.7,2592
381.6,2,7.8,9,411.6,2509
640.2,6,7.6,15,508.6,4801
656.1,7,6.7,15,648.3,4944
514.0,3,10.9,12,435.4,3618
247.0,3,5.7,6,231.8,1571
800.0,7,10.9,14,690.7,6607
338.6,2,8.6,5,360.3,2143
287.6,4,4.4,5,273.1,1652
249.1,1,8.3,5,172.1,1404
613.7,6,2.9,13,472.8,4562
528.7,1,8.9,9,308.0,3877
727.7,7,9.4,16,700.0,5715
437.5,4,6.2,7,427.8,2753
787.6,6,7.8,18,622.6,6352
750.5,7,11.8,18,700.0,6063
346.0,2,6.4,8,313.3,2069
327.3,3,5.2,8,305.0,2025
263.8,1,10.8,3,186.0,1629
650.7,5,11.8,11,555.3,4979
489.6,5,7.5,14,509.6,3347
637.9,4,9.7,15,587.9,4930
530.7,2,10.5,11,435.6,3776
222.8,1,5.9,4,133.7,1181
299.2,2,6.4,4,263.3,1632
454.8,1,10.2,6,337.7,3191
577.2,4,11.2,6,537.8,4277
593.1,4,8.7,11,518.1,4394
583.2,5,5.6,11,499.0,4223
343.2,2,11.9,6,379.0,2174
580.6,6,6.3,9,513.3,4151
717.6,5,6.8,13,571.5,5554
275.1,2,8.3,6,237.3,1508
534.5,5,10.9,9,510.3,3782
473.3,6,9.4,6,468.3,3223
385.9,3,8.4,8,403.3,2573
620.2,3,8.5,13,512.0,4658
514.3,3,7.6,13,394.9,3677
267.6,3,8.7,7,244.6,1715
618.1,7,2.0,13,484.3,4635
354.5,1,6.8,7,302.5,2281
683.2,7,8.0,12,633.1,5261
743.1,7,5.0,15,608.0,5753
746.0,7,8.3,16,641.9,5949
386.3,3,7.1,12,335.6,2659
800.0,6,11.4,13,658.9,6463
405.9,4,11.0,9,439.4,2865
539.0,4,6.5,8,512.7,3712
281.4,1,7.2,3,241.4,1585
253.1,3,7.3,8,331.1,1578
370.3,3,6.5,9,326.5,2404
575.0,3,7.9,11,404.6,4295
561.8,5,5.8,9,424.8,4036
342.4,2,5.0,11,373.7,2091
458.8,5,8.9,11,526.9,3135
387.5,2,8.9,7,293.7,2436
418.4,3,5.7,7,426.1,2679
325.4,3,9.5,2,332.2,2081
663.4,5,6.1,14,545.3,5118
681.9,5,8.1,13,492.6,5279
511.2,2,9.3,6,349.5,3450
476.0,4,7.4,10,450.8,3242
174.3,2,8.5,8,235.1,949
515.6,5,6.4,8,546.4,3672
588.5,6,7.1,12,612.2,4289
572.0,5,7.0,13,486.0,4099
422.9,6,5.9,10,434.8,2817
339.2,1,7.1,6,264.1,2077
461.1,5,4.1,8,399.4,3197
316.7,1,6.4,7,264.1,1884
640.6,4,6.9,10,434.3,4723
274.6,2,6.9,3,278.7,1469
621.6,6,7.0,16,667.0,4672
384.3,2,7.4,5,313.8,2447
201.2,1,8.6,3,177.3,1075
800.0,6,9.4,14,682.6,6505
385.1,2,6.1,10,409.5,2555
619.1,5,4.9,9,593.7,4579
334.6,3,5.2,9,274.9,2174
352.8,1,6.4,7,258.1,2276
264.8,2,6.7,9,204.5,1533
277.2,1,5.8,6,251.9,1568
572.4,7,4.6,14,536.5,4213
332.3,1,6.5,3,303.7,2067
749.5,6,7.9,13,525.6,5919
473.0,7,8.8,12,524.7,3212
469.6,6,6.3,6,429.0,3219
269.1,3,6.6,10,265.0,1570
686.7,7,5.5,17,658.6,5286
245.8,5,7.4,6,317.2,1563
231.4,1,5.6,3,184.0,1285
328.7,2,8.8,9,241.4,1963
419.6,4,3.6,15,406.7,2716
374.3,1,6.7,6,328.1,2472
251.9,1,8.2,4,259.8,1515
377.5,3,7.9,8,325.8,2446
663.2,5,13.4,15,644.9,5112
469.8,4,8.3,8,425.8,3248
752.5,7,5.3,13,592.2,5845
782.0,7,7.3,13,527.0,6236
748.3,7,3.6,12,556.3,5787
539.6,6,7.3,13,409.1,3801
623.5,6,5.7,17,541.4,4638
319.9,2,9.5,8,330.4,1978
505.6,4,6.3,9,436.1,3495
730.7,7,7.2,14,614.6,5740
410.3,6,6.1,9,410.5,2450
314.6,2,11.3,9,347.7,1932
598.3,5,6.8,11,490.2,4388
456.3,2,11.5,7,377.2,3242
773.2,6,9.3,20,645.4,6120
381.9,3,8.6,9,370.6,2517
495.8,3,8.3,7,406.9,3526
661.5,7,8.4,13,593.1,4967
329.0,3,3.3,11,320.8,2049
800.0,7,6.9,15,700.0,6341
572.2,7,9.4,11,537.2,4157
616.3,6,7.4,15,481.2,4565
354.8,3,4.4,7,341.5,2171
800.0,7,7.4,19,638.6,6618
557.4,4,11.2,13,521.0,4144
489.3,5,10.2,10,486.4,3487
472.0,2,7.4,10,328.3,3268
574.8,2,9.6,7,434.6,4085
757.7,6,6.7,15,614.6,6012
483.0,3,3.8,10,369.9,3355
160.3,3,5.5,6,227.5,838
544.4,7,10.9,13,604.6,4022
88.6,1,6.9,8,109.0,548
677.7,7,7.0,14,563.8,5335
700.9,5,6.8,10,520.7,5376
423.4,4,11.7,8,514.8,2799
465.6,2,11.1,8,373.2,3189
800.0,7,12.4,20,700.0,6594
233.0,1,7.2,3,171.8,1231
224.4,1,8.2,6,275.0,1190
686.2,7,4.2,18,648.1,5285
597.1,6,10.7,13,530.6,4432
403.4,2,4.9,8,291.2,2632
755.9,6,8.0,10,584.9,6019
406.1,4,5.1,11,380.7,2635
235.0,1,6.2,5,255.2,1242
354.4,1,5.7,8,397.7,2383
530.7,5,6.2,14,498.2,3701
643.4,4,6.3,16,507.3,4803
207.1,1,6.3,7,201.7,1287
571.7,4,9.3,11,490.0,4160
268.6,2,5.1,7,290.6,1579
340.6,3,8.0,8,385.4,2188
189.7,1,10.2,6,244.1,1216
441.6,5,6.4,11,483.0,2956
335.8,2,5.9,7,361.0,2191
776.4,7,7.0,18,681.5,6038
419.8,4,10.1,7,498.6,2875
800.0,7,7.9,17,648.7,6363
791.4,6,6.3,16,617.2,6409
299.6,2,8.6,7,343.5,1831
528.4,7,5.1,9,462.0,3658
341.3,1,9.0,4,272.5,2195
518.1,4,8.4,13,432.6,3731
373.6,3,6.8,8,319.0,2456
291.2,2,5.7,5,262.2,1649
200.0,1,5.5,4,209.2,1104
514.6,5,8.7,14,483.8,3644
799.2,6,10.2,14,679.6,6421
555.3,4,6.1,9,429.2,4030
386.4,2,8.5,6,276.4,2382
150.8,2,2.9,6,129.8,830
269.1,3,6.2,6,310.9,1574
375.2,3,7.4,13,400.2,2403
602.2,5,5.5,11,462.2,4386
587.5,6,5.4,16,539.9,4310
388.2,5,6.0,15,403.1,2310
278.4,1,8.1,8,266.2,1639
245.1,1,7.1,4,203.8,1380
536.7,5,2.6,13,462.2,3817
460.2,6,2.8,13,438.6,3045
623.6,5,6.2,9,536.3,4626
590.6,6,8.5,14,486.0,4487
691.5,6,2.0,10,498.1,5325
800.0,7,6.4,17,621.9,6466
432.0,4,6.3,9,449.4,2854
761.5,6,10.6,14,632.4,6099
470.4,3,6.7,9,425.4,3190
737.9,6,8.3,12,542.9,5780
706.4,6,7.8,14,518.2,5523
608.0,6,2.8,12,542.8,4426
704.9,7,9.2,17,678.2,5618
639.2,7,8.0,11,602.7,4815
388.0,1,8.6,6,340.0,2582
800.0,7,14.0,19,700.0,6608
378.7,3,2.9,6,292.2,2465
525.2,3,11.3,7,389.9,3638
771.1,7,6.9,16,623.3,6154
596.2,5,8.1,12,519.4,4476
474.7,4,7.4,11,362.7,3325
603.5,7,6.6,16,582.4,4415
800.0,6,6.2,15,636.7,6343
434.4,2,8.2,10,406.8,3006
486.1,4,4.2,11,383.5,3263
574.0,4,9.2,9,466.1,4175
469.6,3,6.6,10,357.3,3315
584.1,4,5.0,15,524.9,4277
568.1,7,6.5,14,589.2,4086
666.2,6,10.3,11,599.5,5054
786.9,6,6.3,16,638.8,6293
313.8,1,8.3,5,211.4,1828
526.4,6,5.9,8,557.8,3671
620.0,6,9.2,15,530.8,4702
489.3,3,9.0,7,470.8,3468
646.3,6,11.6,13,613.7,4997
302.8,1,7.1,6,231.7,1774
273.8,2,9.0,7,231.5,1746
583.4,7,7.7,16,620.9,4291
431.4,3,10.4,7,348.1,2833
